Genesymbol,degree
A1BG,427
A1CF,123
A2M,536
A2ML1,140
A4GALT,75
A4GNT,89
AAAS,241
AACS,733
AADAC,315
AADACL2,322
AADACL3,230
AADACL4,228
AADAT,212
AAED1,52
AAGAB,45
AAK1,2256
AAMDC,15
AAMP,298
AANAT,454
AAR2,203
AARD,72
AARS,952
AARS2,848
AASDH,523
AASDHPPT,349
AASS,269
AATK,48
ABAT,467
ABCA1,1220
ABCA10,433
ABCA12,479
ABCA13,559
ABCA2,536
ABCA3,493
ABCA4,788
ABCA5,450
ABCA6,464
ABCA7,563
ABCA8,450
ABCA9,424
ABCB1,1615
ABCB10,830
ABCB11,1121
ABCB4,1171
ABCB5,1042
ABCB6,436
ABCB7,428
ABCB8,781
ABCB9,772
ABCC1,1098
ABCC10,820
ABCC11,788
ABCC12,916
ABCC2,1257
ABCC3,972
ABCC4,993
ABCC5,912
ABCC6,986
ABCC8,1719
ABCC9,906
ABCD1,931
ABCD2,674
ABCD3,509
ABCD4,442
ABCE1,1426
ABCF1,632
ABCF2,670
ABCF3,603
ABCG1,1128
ABCG2,849
ABCG5,803
ABCG8,757
ABHD1,724
ABHD10,573
ABHD11,602
ABHD12,161
ABHD12B,136
ABHD13,494
ABHD14A,544
ABHD14A-ACY1,530
ABHD14B,562
ABHD15,44
ABHD16A,93
ABHD16B,26
ABHD17A,111
ABHD17B,119
ABHD17C,108
ABHD18,430
ABHD2,197
ABHD3,332
ABHD4,585
ABHD5,736
ABHD6,93
ABHD8,14
ABI1,304
ABI2,287
ABI3,226
ABI3BP,64
ABL1,4175
ABL2,2744
ABLIM2,139
ABLIM3,56
ABR,281
ABRA,120
ABRACL,22
ABRAXAS1,176
ABRAXAS2,55
ABT1,393
ABTB1,1891
ABTB2,91
ACAA1,894
ACAA2,799
ACACB,3258
ACAD10,233
ACAD11,129
ACAD8,474
ACAD9,520
ACADL,209
ACADM,991
ACADS,567
ACADSB,490
ACADVL,630
ACAN,653
ACAP1,525
ACAP2,1614
ACAP3,574
ACAT1,909
ACAT2,828
ACBD3,168
